,dataset,model,method,score
56,xsum,llama,MonteCarloSequenceEntropy,0.19240302774600357
57,xsum,llama,MonteCarloNormalizedSequenceEntropy,0.18622796785949305
58,xsum,llama,SemanticEntropy,0.19392399633219665
59,xsum,llama,DegMat_NLI_score_entail,0.1912897177455241
60,xsum,llama,EigValLaplacian_NLI_score_entail,0.19008272741722426
61,xsum,llama,SAR_t0.001,0.15939602037895345
62,xsum,llama,PTrueBestSample,0.058127470678029335
63,xsum,llama,BestAveDissimilarity,0.030397991199691072
64,xsum,llama,BestSampledMaximumSequenceProbability,0.4641018874995765
65,xsum,llama,BestSemanticEnrichedMaxprobAveDissimilarity,0.4839490145566037
66,xsum,llama,BestSampledPerplexity,0.4581057942998886
67,xsum,llama,BestSemanticEnrichedPPLAveDissimilarity,0.45034668767487124
68,xsum,llama,BestSampledMeanTokenEntropy,0.4490948064580578
69,xsum,llama,BestSemanticEnrichedMTEAveDissimilarity,0.45133119404996697
70,wmt14_fren,llama,MonteCarloSequenceEntropy,0.3663028082261872
71,wmt14_fren,llama,MonteCarloNormalizedSequenceEntropy,0.37737729152572713
72,wmt14_fren,llama,SemanticEntropy,0.37076146190972076
73,wmt14_fren,llama,DegMat_NLI_score_entail,0.27398037748575754
74,wmt14_fren,llama,EigValLaplacian_NLI_score_entail,0.21570124637246843
75,wmt14_fren,llama,SAR_t0.001,0.4412084174233568
76,wmt14_fren,llama,PTrueBestSample,0.07541277516900251
77,wmt14_fren,llama,BestAveDissimilarity,0.473027760206445
78,wmt14_fren,llama,BestSampledMaximumSequenceProbability,0.33895075955055454
79,wmt14_fren,llama,BestSemanticEnrichedMaxprobAveDissimilarity,0.5288167337124695
80,wmt14_fren,llama,BestSampledPerplexity,0.5035528318332693
81,wmt14_fren,llama,BestSemanticEnrichedPPLAveDissimilarity,0.5444197359475447
82,wmt14_fren,llama,BestSampledMeanTokenEntropy,0.4366909404689147
83,wmt14_fren,llama,BestSemanticEnrichedMTEAveDissimilarity,0.5196940913258998
84,wmt19_deen,llama,MonteCarloSequenceEntropy,0.39451784183000443
85,wmt19_deen,llama,MonteCarloNormalizedSequenceEntropy,0.4800442623793394
86,wmt19_deen,llama,SemanticEntropy,0.45122343979701995
87,wmt19_deen,llama,DegMat_NLI_score_entail,0.4094797057986855
88,wmt19_deen,llama,EigValLaplacian_NLI_score_entail,0.3325902705157171
89,wmt19_deen,llama,SAR_t0.001,0.5708690651089209
90,wmt19_deen,llama,PTrueBestSample,0.05631926775374829
91,wmt19_deen,llama,BestAveDissimilarity,0.5980907169586134
92,wmt19_deen,llama,BestSampledMaximumSequenceProbability,0.41256382647161116
93,wmt19_deen,llama,BestSemanticEnrichedMaxprobAveDissimilarity,0.6845317183617349
94,wmt19_deen,llama,BestSampledPerplexity,0.6217286073991164
95,wmt19_deen,llama,BestSemanticEnrichedPPLAveDissimilarity,0.6886413900179805
96,wmt19_deen,llama,BestSampledMeanTokenEntropy,0.5012250065905702
97,wmt19_deen,llama,BestSemanticEnrichedMTEAveDissimilarity,0.6381154848396299
98,triviaqa,mistral,MonteCarloSequenceEntropy,0.49163095862787315
99,triviaqa,mistral,MonteCarloNormalizedSequenceEntropy,0.5292355749009516
100,triviaqa,mistral,SemanticEntropy,0.5538588781171804
101,triviaqa,mistral,DegMat_NLI_score_entail,0.6178917135385357
102,triviaqa,mistral,EigValLaplacian_NLI_score_entail,0.6002699519230735
103,triviaqa,mistral,SAR_t0.001,0.6197320410460075
104,triviaqa,mistral,PTrueBestSample,-0.08433355077475924
105,triviaqa,mistral,BestAveDissimilarity,0.6143799359384136
106,triviaqa,mistral,BestSampledMaximumSequenceProbability,0.6070207583411688
107,triviaqa,mistral,BestSemanticEnrichedMaxprobAveDissimilarity,0.6441933996864275
108,triviaqa,mistral,BestSampledPerplexity,0.6147783154487837
109,triviaqa,mistral,BestSemanticEnrichedPPLAveDissimilarity,0.6480102940537683
110,triviaqa,mistral,BestSampledMeanTokenEntropy,0.593552592620589
111,triviaqa,mistral,BestSemanticEnrichedMTEAveDissimilarity,0.6452529927666366
112,coqa,mistral,MonteCarloSequenceEntropy,0.28872975083647684
113,coqa,mistral,MonteCarloNormalizedSequenceEntropy,0.2772869024603129
114,coqa,mistral,SemanticEntropy,0.31189151555090133
115,coqa,mistral,DegMat_NLI_score_entail,0.37606634734844374
116,coqa,mistral,EigValLaplacian_NLI_score_entail,0.3419465589101201
117,coqa,mistral,SAR_t0.001,0.34742137317564104
118,coqa,mistral,PTrueBestSample,-0.05773916697133948
119,coqa,mistral,BestAveDissimilarity,0.404634288022963
120,coqa,mistral,BestSampledMaximumSequenceProbability,0.38750232820406577
121,coqa,mistral,BestSemanticEnrichedMaxprobAveDissimilarity,0.4296048468745705
122,coqa,mistral,BestSampledPerplexity,0.3270941666030455
123,coqa,mistral,BestSemanticEnrichedPPLAveDissimilarity,0.40187442315924615
124,coqa,mistral,BestSampledMeanTokenEntropy,0.25442024128384366
125,coqa,mistral,BestSemanticEnrichedMTEAveDissimilarity,0.3730993084467182
126,mmlu,mistral,MonteCarloSequenceEntropy,0.33870372031399437
127,mmlu,mistral,MonteCarloNormalizedSequenceEntropy,0.35796958184568495
128,mmlu,mistral,SemanticEntropy,0.38865944409956704
129,mmlu,mistral,DegMat_NLI_score_entail,0.41027157394668123
130,mmlu,mistral,EigValLaplacian_NLI_score_entail,0.3992632220608401
131,mmlu,mistral,SAR_t0.001,0.42097416735149756
132,mmlu,mistral,PTrueBestSample,0.06772946975289185
133,mmlu,mistral,BestAveDissimilarity,0.4230208842669944
134,mmlu,mistral,BestSampledMaximumSequenceProbability,0.47550027412390067
135,mmlu,mistral,BestSemanticEnrichedMaxprobAveDissimilarity,0.4664717009056114
136,mmlu,mistral,BestSampledPerplexity,0.47550027412390067
137,mmlu,mistral,BestSemanticEnrichedPPLAveDissimilarity,0.4664717009056114
138,mmlu,mistral,BestSampledMeanTokenEntropy,0.4570955035662223
139,mmlu,mistral,BestSemanticEnrichedMTEAveDissimilarity,0.44749915824508024
140,gsm8k,mistral,MonteCarloSequenceEntropy,0.692918776064565
141,gsm8k,mistral,MonteCarloNormalizedSequenceEntropy,0.7000132873541378
142,gsm8k,mistral,SemanticEntropy,0.6752589389545198
143,gsm8k,mistral,DegMat_NLI_score_entail,0.4540649069053405
144,gsm8k,mistral,EigValLaplacian_NLI_score_entail,0.36060654905227985
145,gsm8k,mistral,SAR_t0.001,0.7795666259856303
146,gsm8k,mistral,PTrueBestSample,0.277637759017013
147,gsm8k,mistral,BestAveDissimilarity,0.8462731970006369
148,gsm8k,mistral,BestSampledMaximumSequenceProbability,0.3069027158128727
149,gsm8k,mistral,BestSemanticEnrichedMaxprobAveDissimilarity,0.562497487204158
150,gsm8k,mistral,BestSampledPerplexity,0.9309864361479665
151,gsm8k,mistral,BestSemanticEnrichedPPLAveDissimilarity,0.937076796306059
152,gsm8k,mistral,BestSampledMeanTokenEntropy,0.9320304876425635
153,gsm8k,mistral,BestSemanticEnrichedMTEAveDissimilarity,0.9347936983940435
154,xsum,mistral,MonteCarloSequenceEntropy,0.16182990340841208
155,xsum,mistral,MonteCarloNormalizedSequenceEntropy,0.19612238571495713
156,xsum,mistral,SemanticEntropy,0.16402756555610384
157,xsum,mistral,DegMat_NLI_score_entail,0.20490636680505472
158,xsum,mistral,EigValLaplacian_NLI_score_entail,0.197451887426894
159,xsum,mistral,SAR_t0.001,0.17460078503556892
160,xsum,mistral,PTrueBestSample,0.20651991052931506
161,xsum,mistral,BestAveDissimilarity,0.07123070448629105
162,xsum,mistral,BestSampledMaximumSequenceProbability,0.3302312824641304
163,xsum,mistral,BestSemanticEnrichedMaxprobAveDissimilarity,0.3655663883267154
164,xsum,mistral,BestSampledPerplexity,0.36498088380951643
165,xsum,mistral,BestSemanticEnrichedPPLAveDissimilarity,0.3719291352006902
166,xsum,mistral,BestSampledMeanTokenEntropy,0.34977153533590727
167,xsum,mistral,BestSemanticEnrichedMTEAveDissimilarity,0.3727685655683265
168,wmt14_fren,mistral,MonteCarloSequenceEntropy,0.4064533337706524
169,wmt14_fren,mistral,MonteCarloNormalizedSequenceEntropy,0.47080690211571585
170,wmt14_fren,mistral,SemanticEntropy,0.4335206498426083
171,wmt14_fren,mistral,DegMat_NLI_score_entail,0.43935604410914286
172,wmt14_fren,mistral,EigValLaplacian_NLI_score_entail,0.3877670475990392
173,wmt14_fren,mistral,SAR_t0.001,0.5627728093311847
174,wmt14_fren,mistral,PTrueBestSample,0.4720380348770092
175,wmt14_fren,mistral,BestAveDissimilarity,0.6704708274736316
176,wmt14_fren,mistral,BestSampledMaximumSequenceProbability,0.21176163094450645
177,wmt14_fren,mistral,BestSemanticEnrichedMaxprobAveDissimilarity,0.7121268943377203
178,wmt14_fren,mistral,BestSampledPerplexity,0.6952841621363055
179,wmt14_fren,mistral,BestSemanticEnrichedPPLAveDissimilarity,0.7349502848612316
180,wmt14_fren,mistral,BestSampledMeanTokenEntropy,0.6677191223503283
181,wmt14_fren,mistral,BestSemanticEnrichedMTEAveDissimilarity,0.7077474339274481
182,wmt19_deen,mistral,MonteCarloSequenceEntropy,0.4065119930154423
183,wmt19_deen,mistral,MonteCarloNormalizedSequenceEntropy,0.5069288522805925
184,wmt19_deen,mistral,SemanticEntropy,0.4423732821600938
185,wmt19_deen,mistral,DegMat_NLI_score_entail,0.40964749986881066
186,wmt19_deen,mistral,EigValLaplacian_NLI_score_entail,0.3436670202163192
187,wmt19_deen,mistral,SAR_t0.001,0.5901798436139186
188,wmt19_deen,mistral,PTrueBestSample,0.2691916925643264
189,wmt19_deen,mistral,BestAveDissimilarity,0.7077019519213985
190,wmt19_deen,mistral,BestSampledMaximumSequenceProbability,0.29137283479759074
191,wmt19_deen,mistral,BestSemanticEnrichedMaxprobAveDissimilarity,0.730367590676306
192,wmt19_deen,mistral,BestSampledPerplexity,0.6759244059833653
193,wmt19_deen,mistral,BestSemanticEnrichedPPLAveDissimilarity,0.7546268983975147
194,wmt19_deen,mistral,BestSampledMeanTokenEntropy,0.6058029948156883
195,wmt19_deen,mistral,BestSemanticEnrichedMTEAveDissimilarity,0.7319208630370084
196,triviaqa,falcon,MonteCarloSequenceEntropy,0.5353910914048368
197,triviaqa,falcon,MonteCarloNormalizedSequenceEntropy,0.5875325465168141
198,triviaqa,falcon,SemanticEntropy,0.566306060625244
199,triviaqa,falcon,DegMat_NLI_score_entail,0.6367017697365258
200,triviaqa,falcon,EigValLaplacian_NLI_score_entail,0.6220567982492624
201,triviaqa,falcon,SAR_t0.001,0.6421056597336177
202,triviaqa,falcon,PTrueBestSample,0.24354050280274123
203,triviaqa,falcon,BestAveDissimilarity,0.6265785210980235
204,triviaqa,falcon,BestSampledMaximumSequenceProbability,0.6379682027258231
205,triviaqa,falcon,BestSemanticEnrichedMaxprobAveDissimilarity,0.6588141836057668
206,triviaqa,falcon,BestSampledPerplexity,0.6144246665931732
207,triviaqa,falcon,BestSemanticEnrichedPPLAveDissimilarity,0.644486065741365
208,triviaqa,falcon,BestSampledMeanTokenEntropy,0.5734473773760822
209,triviaqa,falcon,BestSemanticEnrichedMTEAveDissimilarity,0.6459156232262527
210,coqa,falcon,MonteCarloSequenceEntropy,0.2853832151776593
211,coqa,falcon,MonteCarloNormalizedSequenceEntropy,0.31812958170223055
212,coqa,falcon,SemanticEntropy,0.3186983775919176
213,coqa,falcon,DegMat_NLI_score_entail,0.4218580092165527
214,coqa,falcon,EigValLaplacian_NLI_score_entail,0.39285837546387126
215,coqa,falcon,SAR_t0.001,0.384558957233772
216,coqa,falcon,PTrueBestSample,0.0377745164087663
217,coqa,falcon,BestAveDissimilarity,0.41586650202677766
218,coqa,falcon,BestSampledMaximumSequenceProbability,0.36868059112183127
219,coqa,falcon,BestSemanticEnrichedMaxprobAveDissimilarity,0.4278308350050282
220,coqa,falcon,BestSampledPerplexity,0.3528542842884204
221,coqa,falcon,BestSemanticEnrichedPPLAveDissimilarity,0.41459868972912794
222,coqa,falcon,BestSampledMeanTokenEntropy,0.3169753494656716
223,coqa,falcon,BestSemanticEnrichedMTEAveDissimilarity,0.4020896066488152
224,mmlu,falcon,MonteCarloSequenceEntropy,0.42082075808344493
225,mmlu,falcon,MonteCarloNormalizedSequenceEntropy,0.44274115236256983
226,mmlu,falcon,SemanticEntropy,0.46325633593883203
227,mmlu,falcon,DegMat_NLI_score_entail,0.47981929895613723
228,mmlu,falcon,EigValLaplacian_NLI_score_entail,0.4537200971789129
229,mmlu,falcon,SAR_t0.001,0.5090052266446796
230,mmlu,falcon,PTrueBestSample,0.027700854204078536
231,mmlu,falcon,BestAveDissimilarity,0.48443412497535265
232,mmlu,falcon,BestSampledMaximumSequenceProbability,0.5399147297528937
233,mmlu,falcon,BestSemanticEnrichedMaxprobAveDissimilarity,0.5296976638764491
234,mmlu,falcon,BestSampledPerplexity,0.5399147297528937
235,mmlu,falcon,BestSemanticEnrichedPPLAveDissimilarity,0.5296976638764491
236,mmlu,falcon,BestSampledMeanTokenEntropy,0.534449106596309
237,mmlu,falcon,BestSemanticEnrichedMTEAveDissimilarity,0.5173116161621034
238,gsm8k,falcon,MonteCarloSequenceEntropy,0.5983412717521206
239,gsm8k,falcon,MonteCarloNormalizedSequenceEntropy,0.7708575276085489
240,gsm8k,falcon,SemanticEntropy,0.5673221800016249
241,gsm8k,falcon,DegMat_NLI_score_entail,0.6328575559217898
242,gsm8k,falcon,EigValLaplacian_NLI_score_entail,0.522437951639915
243,gsm8k,falcon,SAR_t0.001,0.8258356656303506
244,gsm8k,falcon,PTrueBestSample,0.815126677156697
245,gsm8k,falcon,BestAveDissimilarity,0.9786549028196455
246,gsm8k,falcon,BestSampledMaximumSequenceProbability,-0.17540984624093167
247,gsm8k,falcon,BestSemanticEnrichedMaxprobAveDissimilarity,0.4983382099592419
248,gsm8k,falcon,BestSampledPerplexity,1.0
249,gsm8k,falcon,BestSemanticEnrichedPPLAveDissimilarity,1.0
250,gsm8k,falcon,BestSampledMeanTokenEntropy,0.9840674749964309
251,gsm8k,falcon,BestSemanticEnrichedMTEAveDissimilarity,0.9983196116769658
252,xsum,falcon,MonteCarloSequenceEntropy,0.1284805858580289
253,xsum,falcon,MonteCarloNormalizedSequenceEntropy,0.1526723421764103
254,xsum,falcon,SemanticEntropy,0.13403346826923845
255,xsum,falcon,DegMat_NLI_score_entail,0.1765584837173871
256,xsum,falcon,EigValLaplacian_NLI_score_entail,0.17398257844390044
257,xsum,falcon,SAR_t0.001,0.19318912301344038
258,xsum,falcon,PTrueBestSample,0.021585295869955345
259,xsum,falcon,BestAveDissimilarity,0.28212218693305174
260,xsum,falcon,BestSampledMaximumSequenceProbability,0.09900589325961384
261,xsum,falcon,BestSemanticEnrichedMaxprobAveDissimilarity,0.21005758450578574
262,xsum,falcon,BestSampledPerplexity,0.27462666081583537
263,xsum,falcon,BestSemanticEnrichedPPLAveDissimilarity,0.3100105448532816
264,xsum,falcon,BestSampledMeanTokenEntropy,0.18630293799449837
265,xsum,falcon,BestSemanticEnrichedMTEAveDissimilarity,0.28892787147063126
266,wmt14_fren,falcon,MonteCarloSequenceEntropy,0.39890072350644706
267,wmt14_fren,falcon,MonteCarloNormalizedSequenceEntropy,0.3952603283115598
268,wmt14_fren,falcon,SemanticEntropy,0.4198281442834413
269,wmt14_fren,falcon,DegMat_NLI_score_entail,0.34997294185578554
270,wmt14_fren,falcon,EigValLaplacian_NLI_score_entail,0.2885427320005387
271,wmt14_fren,falcon,SAR_t0.001,0.45527141488311157
272,wmt14_fren,falcon,PTrueBestSample,0.2451774372233183
273,wmt14_fren,falcon,BestAveDissimilarity,0.49083660936588563
274,wmt14_fren,falcon,BestSampledMaximumSequenceProbability,0.3847957310748333
275,wmt14_fren,falcon,BestSemanticEnrichedMaxprobAveDissimilarity,0.563782832249458
276,wmt14_fren,falcon,BestSampledPerplexity,0.5409038491840343
277,wmt14_fren,falcon,BestSemanticEnrichedPPLAveDissimilarity,0.579011483039998
278,wmt14_fren,falcon,BestSampledMeanTokenEntropy,0.4748004296302185
279,wmt14_fren,falcon,BestSemanticEnrichedMTEAveDissimilarity,0.5505728532094061
280,wmt19_deen,falcon,MonteCarloSequenceEntropy,0.41916374722973715
281,wmt19_deen,falcon,MonteCarloNormalizedSequenceEntropy,0.4522322669046474
282,wmt19_deen,falcon,SemanticEntropy,0.46009643768700126
283,wmt19_deen,falcon,DegMat_NLI_score_entail,0.42171931198137025
284,wmt19_deen,falcon,EigValLaplacian_NLI_score_entail,0.38247870620918384
285,wmt19_deen,falcon,SAR_t0.001,0.5209278849755397
286,wmt19_deen,falcon,PTrueBestSample,0.24482604389303345
287,wmt19_deen,falcon,BestAveDissimilarity,0.6514857784162781
288,wmt19_deen,falcon,BestSampledMaximumSequenceProbability,0.3777906272925547
289,wmt19_deen,falcon,BestSemanticEnrichedMaxprobAveDissimilarity,0.6976904173261667
290,wmt19_deen,falcon,BestSampledPerplexity,0.6373282210859872
291,wmt19_deen,falcon,BestSemanticEnrichedPPLAveDissimilarity,0.7165509465466726
292,wmt19_deen,falcon,BestSampledMeanTokenEntropy,0.510136562700028
293,wmt19_deen,falcon,BestSemanticEnrichedMTEAveDissimilarity,0.677608714017864
